Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
TTL,MGC46235,ENSG00000114999,Tubulin tyrosine ligase,2,112482154-112541739,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA066819,NA,NA,Approved,Nucleoplasm<br>Vesicles,Liver cancer:5.65e-4 (unfavourable),Expressed in all,Mixed,NA,NA,cerebral cortex: 4.4,Mixed,NA,NA
TTLL6,FLJ35808,ENSG00000170703,Tubulin tyrosine ligase like 6,17,48762235-48817214,Predicted intracellular proteins,Evidence at protein level,HPA052397,Enhanced,NA,Approved,Vesicles<br>Microtubules,NA,Mixed,Tissue enhanced,NA,testis: 26.0,fallopian tube: 5.8,Cell line enriched,5,HDLM-2: 4.1
TUFT1,NA,ENSG00000143367,Tuftelin 1,1,151540305-151583583,Predicted intracellular proteins,Evidence at protein level,"HPA028112, HPA054301",Approved,Approved,Approved,Vesicles,Endometrial cancer:4.83e-4 (unfavourable),Expressed in all,Tissue enhanced,NA,skin: 92.8,esophagus: 25.8,Mixed,NA,NA
TUSC1,TSG-9,ENSG00000198680,Tumor suppressor candidate 1,9,25676389-25678440,Predicted intracellular proteins,Evidence at protein level,HPA051426,Approved,NA,Approved,Nucleus<br>Vesicles,NA,Expressed in all,Expressed in all,NA,NA,testis: 16.5,Cell line enhanced,NA,HEL: 34.6
TUSC2,"C3orf11, FUS1, PAP, PDAP2",ENSG00000114383,Tumor suppressor candidate 2,3,50320027-50328251,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,HPA030116,NA,NA,Approved,Vesicles<br>Cytosol,"Renal cancer:8.70e-7 (favourable), Liver cancer:2.84e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 42.1,Expressed in all,NA,NA
TVP23A,"FAM18A, YDR084C",ENSG00000166676,Trans-golgi network vesicle protein 23 homolog A,16,10760919-10818794,Predicted membrane proteins,Evidence at transcript level,HPA060582,Uncertain,NA,Approved,Vesicles,NA,Tissue enhanced,Tissue enhanced,NA,cerebral cortex: 6.3,ovary: 3.2,Cell line enhanced,NA,SH-SY5Y: 2.2
TXK,"BTKL, PSCTK5, PTK4, RLK, TKL",ENSG00000074966,TXK tyrosine kinase,4,48066393-48134256,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA062482,NA,NA,Approved,Vesicles,NA,Mixed,Tissue enhanced,NA,lymph node: 17.9,epididymis: 15.1,Cell line enhanced,NA,HMC-1: 12.2;WM-115: 31.5
TYR,"OCA1, OCA1A, OCAIA",ENSG00000077498,Tyrosinase,11,89177452-89295759,"Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,"CAB000079, HPA043241, HPA050889",Enhanced,NA,Enhanced,Vesicles,NA,Tissue enriched,Tissue enriched,33,skin: 29.8,breast: 0.9,Cell line enriched,1211,SK-MEL-30: 256.2
TYRP1,"b-PROTEIN, CAS2, CATB, GP75, OCA3, TRP, TYRP",ENSG00000107165,Tyrosinase related protein 1,9,12685439-12710290,"Disease related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA000937, CAB002520",Enhanced,NA,Supported,Vesicles,NA,Tissue enriched,Group enriched,6,heart muscle: 40.2;skin: 169.1,kidney: 17.0,Cell line enriched,51,SK-MEL-30: 1084.9
UBA5,"FLJ23251, UBE1DC1",ENSG00000081307,Ubiquitin like modifier activating enzyme 5,3,132654446-132678097,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA017235,Uncertain,NA,Enhanced,Vesicles<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 64.2,Expressed in all,NA,NA
UBA7,"D8, UBA1B, UBE1L, UBE2",ENSG00000182179,Ubiquitin like modifier activating enzyme 7,3,49805207-49813946,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB015444, HPA058182",Approved,NA,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,"Renal cancer:1.04e-5 (unfavourable), Urothelial cancer:1.48e-4 (favourable), Breast cancer:1.55e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,spleen: 65.5,Cell line enhanced,NA,BJ hTERT+ SV40 Large T+ RasG12V: 55.3;HMC-1: 91.3
UBIAD1,"SCCD, TERE1",ENSG00000120942,UbiA prenyltransferase domain containing 1,1,11273206-11296049,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA044862,NA,NA,Approved,Vesicles,Renal cancer:6.80e-5 (favourable),Expressed in all,Expressed in all,NA,NA,fallopian tube: 15.8,Expressed in all,NA,NA
UBR1,NA,ENSG00000159459,Ubiquitin protein ligase E3 component n-recognin 1,15,42942897-43106113,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA038838,Approved,NA,Approved,Nucleoplasm<br>Vesicles,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 27.4,Expressed in all,NA,NA
UCN2,"SRP, UCN-II, UCNI, URP",ENSG00000145040,Urocortin 2,3,48561727-48563773,Predicted secreted proteins,Evidence at protein level,HPA066841,Uncertain,NA,Approved,Vesicles,NA,Tissue enhanced,Tissue enriched,8,skin: 15.5,endometrium: 2.0,Cell line enhanced,NA,hTCEpi: 19.9;hTEC/SVTERT24-B: 21.7;SiHa: 20.5;WM-115: 55.5
UGT3A1,FLJ34658,ENSG00000145626,UDP glycosyltransferase family 3 member A1,5,35951010-36001028,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA047697, HPA056290",Uncertain,NA,Approved,Vesicles<br>Cytosol,NA,Group enriched,Tissue enhanced,NA,kidney: 53.4;liver: 29.2,duodenum: 9.5,Cell line enriched,51,RH-30: 26.5
ULBP3,RAET1N,ENSG00000131019,UL16 binding protein 3,6,150063150-150069095,Predicted secreted proteins,Evidence at protein level,"HPA056541, HPA063007",Approved,NA,Uncertain,Vesicles<br>Microtubule organizing center,NA,Mixed,Tissue enhanced,NA,testis: 11.9;thyroid gland: 8.8,fallopian tube: 3.9,Mixed,NA,NA
UNC13B,"hmunc13, UNC13, Unc13h2",ENSG00000198722,Unc-13 homolog B,9,35161992-35405338,Predicted intracellular proteins,Evidence at protein level,"HPA024493, HPA062300",Approved,NA,Supported,Nucleoplasm<br>Golgi apparatus<br>Vesicles,"Renal cancer:4.34e-11 (favourable), Lung cancer:6.59e-5 (favourable), Head and neck cancer:8.51e-5 (favourable), Pancreatic cancer:3.71e-4 (favourable), Colorectal cancer:4.96e-4 (favourable)",Expressed in all,Mixed,NA,NA,lung: 58.2,Mixed,NA,NA
UNC13D,Munc13-4,ENSG00000092929,Unc-13 homolog D,17,75827225-75844717,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA067117, HPA073525",Enhanced,NA,Supported,Vesicles<br>Cytosol,"Renal cancer:5.28e-12 (unfavourable), Endometrial cancer:3.62e-4 (unfavourable), Pancreatic cancer:6.01e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,spleen: 38.6,Cell line enhanced,NA,HEL: 219.6;HMC-1: 213.8;SK-BR-3: 125.9
UNC80,"C2orf21, FLJ33496, KIAA1843, UNC-80",ENSG00000144406,"Unc-80 homolog, NALCN activator",2,209771993-209999300,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA042472,Enhanced,NA,Approved,Vesicles,NA,Tissue enhanced,Tissue enhanced,NA,adrenal gland: 5.1;cerebral cortex: 15.8;testis: 5.2,gallbladder: 1.9,Cell line enhanced,NA,AF22: 2.4;SCLC-21H: 4.7;SH-SY5Y: 2.4
UPF3A,"HUPF3A, RENT3A, UPF3",ENSG00000169062,UPF3 regulator of nonsense transcripts homolog A (yeast),13,114281584-114305817,Predicted intracellular proteins,Evidence at protein level,"HPA018325, HPA061316",Approved,NA,Approved,Nucleus<br>Vesicles<br>Cytosol,"Pancreatic cancer:7.09e-5 (favourable), Urothelial cancer:3.71e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 84.4,Expressed in all,NA,NA
UPK3B,"FLJ32198, MGC10902, p35, UPIIIb",ENSG00000243566,Uroplakin 3B,7,76510428-76516521,"Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA010506,Approved,NA,Approved,Nucleus<br>Vesicles<br>Cytosol,NA,Group enriched,Group enriched,11,esophagus: 12.4;lung: 29.8;urinary bladder: 11.0,tonsil: 1.6,Group enriched,8,A549: 12.0;CAPAN-2: 41.9;HaCaT: 8.6;RT4: 26.3;T-47d: 25.4
UPP2,"UDRPASE2, UP2, UPASE2",ENSG00000007001,Uridine phosphorylase 2,2,157876702-158136154,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA035225, HPA035226",NA,NA,Approved,Nucleus<br>Vesicles<br>Mitochondria,NA,Tissue enriched,Group enriched,14,kidney: 52.2;liver: 14.3,cerebral cortex: 2.4,Not detected,NA,NA
UPRT,"DKFZp781E1243, FUR1, MGC23937, RP11-311P8.3",ENSG00000094841,Uracil phosphoribosyltransferase homolog,X,75274085-75304600,Predicted intracellular proteins,Evidence at protein level,HPA000805,Uncertain,NA,Approved,Vesicles,Renal cancer:4.14e-4 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 21.4,Mixed,NA,NA
URM1,"C9orf74, MGC2668",ENSG00000167118,Ubiquitin related modifier 1,9,128371319-128392016,Predicted intracellular proteins,Evidence at protein level,"HPA053645, HPA065160",Approved,NA,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:7.43e-6 (favourable), Liver cancer:6.91e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,fallopian tube: 25.1,Expressed in all,NA,NA
USF2,"bHLHb12, FIP",ENSG00000105698,"Upstream transcription factor 2, c-fos interacting",19,35268978-35279821,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA029764, HPA046567",NA,NA,Supported,Nucleoplasm<br>Vesicles,"Pancreatic cancer:5.12e-5 (favourable), Urothelial cancer:3.28e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 215.5,Expressed in all,NA,NA
USP27X,USP27,ENSG00000273820,"Ubiquitin specific peptidase 27, X-linked",X,49879948-49882565,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA077264,NA,NA,Approved,Nucleoplasm<br>Vesicles,"Liver cancer:6.14e-4 (unfavourable), Pancreatic cancer:9.31e-4 (favourable)",Expressed in all,Tissue enhanced,NA,placenta: 19.7,cerebral cortex: 10.3,Mixed,NA,NA
USP40,FLJ10785,ENSG00000085982,Ubiquitin specific peptidase 40,2,233475520-233566782,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA005821,Uncertain,NA,Approved,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 31.5,Mixed,NA,NA
USP6,"HRP1, Tre-2, TRE17, Tre2, TRESMCR",ENSG00000129204,Ubiquitin specific peptidase 6,17,5116438-5175034,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA046969,NA,NA,Uncertain,Vesicles,NA,Tissue enriched,Group enriched,5,ovary: 3.5;skeletal muscle: 7.5;testis: 17.1,smooth muscle: 1.8,Mixed,NA,NA
USP9X,"DFFRX, FAF, MRX99",ENSG00000124486,"Ubiquitin specific peptidase 9, X-linked",X,41085635-41236579,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB011618, HPA047417, CAB070164",Approved,NA,Uncertain,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 90.1,Expressed in all,NA,NA
USP9Y,DFFRY,ENSG00000114374,"Ubiquitin specific peptidase 9, Y-linked",Y,12701231-12860839,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA057687,NA,NA,Uncertain,Vesicles,NA,Tissue enhanced,Tissue enhanced,NA,prostate: 9.9,seminal vesicle: 6.9,Cell line enhanced,NA,RPTEC TERT1: 13.3
UTP3,"CRLZ1, DKFZp761F222, FLJ23256, SAS10",ENSG00000132467,"UTP3, small subunit processome component homolog (S. cerevisiae)",4,70688479-70690551,Predicted intracellular proteins,Evidence at protein level,"HPA035655, HPA041453",Approved,NA,Supported,Nucleoli<br>Vesicles,Renal cancer:3.16e-4 (favourable),Expressed in all,Expressed in all,NA,NA,spleen: 43.2,Expressed in all,NA,NA
VAC14,"ArPIKfyve, FLJ10305, TAX1BP2",ENSG00000103043,"Vac14, PIKFYVE complex component",16,70687439-70801161,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA027766,Approved,NA,Approved,Vesicles<br>Cytosol,"Renal cancer:1.56e-6 (favourable), Cervical cancer:8.33e-5 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 31.6,Expressed in all,NA,NA
VAMP7,"SYBL1, TI-VAMP, VAMP-7",ENSG00000124333,Vesicle associated membrane protein 7,X,155881293-155943769,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA036733,Approved,NA,Supported,Vesicles,Renal cancer:2.83e-4 (favourable),Expressed in all,Expressed in all,NA,NA,placenta: 57.2,Expressed in all,NA,NA
VAV2,NA,ENSG00000160293,Vav guanine nucleotide exchange factor 2,9,133761894-133992604,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA003224,Uncertain,NA,Approved,Vesicles,"Renal cancer:7.39e-7 (favourable), Thyroid cancer:4.33e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,adrenal gland: 32.2,Mixed,NA,NA
VBP1,"PFD3, PFDN3",ENSG00000155959,VHL binding protein 1,X,155197007-155239817,Predicted intracellular proteins,Evidence at protein level,"CAB006260, HPA023230",Approved,NA,Supported,Vesicles<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 85.3,Expressed in all,NA,NA
VCAN,"CSPG2, PG-M",ENSG00000038427,Versican,5,83471465-83582303,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA004726, CAB008979",Enhanced,NA,Supported,Vesicles,"Stomach cancer:1.41e-4 (unfavourable), Renal cancer:5.17e-4 (unfavourable), Melanoma:7.59e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,appendix: 105.5;placenta: 104.6,smooth muscle: 67.1,Cell line enhanced,NA,AF22: 296.8;RPTEC TERT1: 288.7;U-2197: 156.9
VGF,"SCG7, SgVII",ENSG00000128564,VGF nerve growth factor inducible,7,101162509-101165593,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA055177, HPA072505",Enhanced,NA,Supported,Golgi apparatus<br>Vesicles,"Endometrial cancer:4.25e-4 (unfavourable), Glioma:4.43e-4 (unfavourable)",Tissue enriched,Tissue enriched,22,cerebral cortex: 46.1,adipose tissue: 2.0,Group enriched,11,SH-SY5Y: 182.3;SK-MEL-30: 372.7;U-2 OS: 87.3;WM-115: 139.3
VLDLR,"CARMQ1, CHRMQ1, VLDLRCH",ENSG00000147852,Very low density lipoprotein receptor,9,2621834-2660053,"Disease related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB032462, HPA051312",Uncertain,NA,Approved,Vesicles<br>Cytokinetic bridge<br>Microtubule organizing center,Endometrial cancer:5.95e-4 (favourable),Expressed in all,Tissue enhanced,NA,ovary: 110.0;parathyroid gland: 124.0,fallopian tube: 43.7,Cell line enhanced,NA,BEWO: 60.5
VN1R1,"V1RL1, VNR19I1, ZVNH1, ZVNR1",ENSG00000178201,Vomeronasal 1 receptor 1,19,57454790-57457142,"G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at transcript level,HPA062209,NA,NA,Uncertain,Nucleus<br>Vesicles,NA,Mixed,Mixed,NA,NA,epididymis: 2.7,Cell line enhanced,NA,HEK93: 2.6;U-266/70: 1.9;U-266/84: 2.3
VPS13D,"FLJ10619, KIAA0453",ENSG00000048707,Vacuolar protein sorting 13 homolog D,1,12230067-12512047,Predicted intracellular proteins,Evidence at protein level,"HPA027332, HPA051621",Uncertain,NA,Approved,Nucleoplasm<br>Vesicles<br>Cytosol,Renal cancer:7.42e-12 (favourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 29.5,Expressed in all,NA,NA
VPS29,"DC15, DC7, PEP11",ENSG00000111237,"VPS29, retromer complex component",12,110491097-110502117,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA039748,Uncertain,NA,Supported,Vesicles<br>Cytosol,"Liver cancer:2.79e-5 (unfavourable), Ovarian cancer:7.70e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,epididymis: 109.0,Expressed in all,NA,NA
VPS37A,"FLJ32642, HCRP1, PQBP2, SPG53",ENSG00000155975,"VPS37A, ESCRT-I subunit",8,17246571-17302427,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA024705, HPA024781",Enhanced,NA,Approved,Vesicles<br>Centrosome<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,testis: 57.3,Expressed in all,NA,NA
VPS37C,FLJ20847,ENSG00000167987,"VPS37C, ESCRT-I subunit",11,61130256-61161617,Predicted intracellular proteins,Evidence at protein level,HPA043348,Approved,NA,Approved,Nucleus<br>Vesicles,"Renal cancer:2.37e-7 (favourable), Liver cancer:5.85e-5 (unfavourable)",Expressed in all,Expressed in all,NA,NA,skin: 25.2,Expressed in all,NA,NA
VPS37D,"MGC35352, WBSCR24",ENSG00000176428,"VPS37D, ESCRT-I subunit",7,73667825-73672112,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA040978,Uncertain,NA,Approved,Vesicles,"Renal cancer:5.80e-9 (favourable), Pancreatic cancer:2.07e-5 (favourable)",Expressed in all,Mixed,NA,NA,cerebral cortex: 6.3,Cell line enhanced,NA,SH-SY5Y: 12.4
VPS4B,"SKD1, SKD1B, VPS4-2",ENSG00000119541,Vacuolar protein sorting 4 homolog B,18,63389190-63422483,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA040393, CAB046445, HPA057649",Approved,NA,Approved,Vesicles<br>Intermediate filaments,Renal cancer:1.23e-4 (favourable),Expressed in all,Expressed in all,NA,NA,esophagus: 82.7,Expressed in all,NA,NA
VPS51,"ANG2, ANG3, C11orf2, C11orf3, FFR",ENSG00000149823,"VPS51, GARP complex subunit",11,65089324-65111860,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA039650, HPA061447",Uncertain,NA,Approved,Nucleoli<br>Golgi apparatus<br>Vesicles,Renal cancer:2.41e-9 (favourable),Expressed in all,Expressed in all,NA,NA,ovary: 101.9,Expressed in all,NA,NA
VRK3,NA,ENSG00000105053,Vaccinia related kinase 3,19,49976467-50025946,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA056489,Approved,NA,Supported,Nucleus<br>Vesicles,"Renal cancer:1.83e-4 (favourable), Urothelial cancer:5.66e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 168.6,Expressed in all,NA,NA
VSIG1,MGC44287,ENSG00000101842,V-set and immunoglobulin domain containing 1,X,108044970-108079184,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA001445, HPA036310, HPA036311",Enhanced,NA,Approved,Vesicles<br>Cytosol,NA,Group enriched,Group enriched,10,stomach: 185.7;testis: 91.1,gallbladder: 14.3,Cell line enhanced,NA,HBEC3-KT: 2.5;HUVEC TERT2: 5.9;PC-3: 2.2
VSTM1,UNQ3033,ENSG00000189068,V-set and transmembrane domain containing 1,19,54040825-54063953,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA059365,NA,NA,Approved,Vesicles,NA,Mixed,Tissue enriched,38,bone marrow: 35.4,urinary bladder: 0.9,Not detected,NA,NA
VSTM4,"C10orf72, FLJ31737",ENSG00000165633,V-set and transmembrane domain containing 4,10,49014245-49115509,"Predicted membrane proteins, Predicted secreted proteins",Evidence at transcript level,HPA017279,Uncertain,NA,Approved,Nucleus<br>Vesicles,Urothelial cancer:4.25e-4 (unfavourable),Tissue enriched,Mixed,NA,NA,adrenal gland: 54.8,Cell line enhanced,NA,RH-30: 9.1;U-138 MG: 10.5;U-2197: 22.4;U-87 MG: 11.4
VTA1,"C6orf55, HSPC228, My012",ENSG00000009844,Vesicle trafficking 1,6,142147162-142224689,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA030968, HPA030969",Approved,NA,Supported,Nucleoplasm<br>Vesicles<br>Cytosol,"Liver cancer:6.58e-6 (unfavourable), Breast cancer:7.02e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 60.9,Expressed in all,NA,NA
VTI1A,"MVti1, Vti1-rp2, Vti1a",ENSG00000151532,Vesicle transport through interaction with t-SNAREs 1A,10,112446998-112818744,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA054108,Supported,NA,Supported,Golgi apparatus<br>Vesicles,"Liver cancer:6.50e-5 (unfavourable), Renal cancer:7.27e-5 (favourable)",Expressed in all,Mixed,NA,NA,parathyroid gland: 12.1,Expressed in all,NA,NA
VTI1B,VTI2,ENSG00000100568,Vesicle transport through interaction with t-SNAREs 1B,14,67647075-67674831,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA044121, HPA048150, HPA060118",Approved,NA,Enhanced,Golgi apparatus<br>Vesicles,Renal cancer:3.53e-12 (favourable),Expressed in all,Expressed in all,NA,NA,epididymis: 64.9,Expressed in all,NA,NA
VTN,VN,ENSG00000109072,Vitronectin,17,28367276-28373091,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016695, CAB016765, HPA060933",Supported,NA,Supported,Endoplasmic reticulum<br>Vesicles,"Renal cancer:4.10e-11 (unfavourable), Liver cancer:3.74e-4 (favourable)",Tissue enriched,Tissue enriched,28,liver: 2554.5,gallbladder: 91.2,Cell line enriched,9,CACO-2: 1044.7
VWA8,KIAA0564,ENSG00000102763,Von Willebrand factor A domain containing 8,13,41566837-41961120,Predicted intracellular proteins,Evidence at protein level,"HPA039075, HPA045478",Uncertain,NA,Approved,Vesicles<br>Lipid droplets,"Renal cancer:6.38e-14 (favourable), Liver cancer:8.56e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 21.8,Mixed,NA,NA
VWCE,"FLJ32009, URG11, VWC1",ENSG00000167992,Von Willebrand factor C and EGF domains,11,61258286-61295424,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA040401, HPA043921",Uncertain,NA,Supported,Nucleus<br>Vesicles<br>Cytosol,NA,Group enriched,Tissue enhanced,NA,fallopian tube: 5.1;ovary: 5.8,liver: 3.7,Cell line enhanced,NA,Hep G2: 14.6;HSkMC: 8.6;REH: 11.0
WASHC1,"FAM39E, FLJ00038, WASH1",ENSG00000181404,WASH complex subunit 1,9,14521-29739,Predicted intracellular proteins,Evidence at protein level,HPA002689,Uncertain,NA,Supported,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,epididymis: 24.5,Expressed in all,NA,NA
WASHC2A,"bA56A21.1, bA98I6.1, FAM21A, FAM21B, FLJ10824",ENSG00000099290,WASH complex subunit 2A,10,50067888-50133506,Predicted intracellular proteins,Evidence at protein level,"HPA047844, HPA060975, HPA061022",Supported,NA,Supported,Nucleoli<br>Vesicles<br>Cytosol,Liver cancer:6.75e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 42.7,Expressed in all,NA,NA
WASHC2C,"Em:AC012044.3, FAM21C, KIAA0592",ENSG00000172661,WASH complex subunit 2C,10,45727200-45792961,Predicted intracellular proteins,Evidence at protein level,"HPA047844, HPA060975, HPA061022",Supported,NA,Supported,Nucleoli<br>Vesicles<br>Cytosol,"Liver cancer:1.35e-5 (unfavourable), Lung cancer:4.69e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 41.9,Expressed in all,NA,NA
WASHC3,"CCDC53, CGI-116",ENSG00000120860,WASH complex subunit 3,12,102012927-102062149,Predicted intracellular proteins,Evidence at protein level,"HPA038338, HPA038339",Approved,NA,Approved,Vesicles,NA,Expressed in all,Expressed in all,NA,NA,testis: 165.7,Expressed in all,NA,NA
WBSCR28,MGC26719,ENSG00000175877,Williams-Beuren syndrome chromosome region 28,7,73861159-73865893,Predicted membrane proteins,Evidence at transcript level,HPA077196,NA,NA,Approved,Vesicles,NA,Mixed,Tissue enriched,99,testis: 36.2,duodenum: 0.3,Cell line enhanced,NA,MCF7: 1.2
WDR48,"KIAA1449, P80, SPG60",ENSG00000114742,WD repeat domain 48,3,39051998-39096671,Predicted intracellular proteins,Evidence at protein level,"HPA038421, HPA058015",Approved,NA,Supported,Vesicles,Renal cancer:1.63e-7 (favourable),Expressed in all,Expressed in all,NA,NA,testis: 72.5,Expressed in all,NA,NA
WDR54,FLJ12953,ENSG00000005448,WD repeat domain 54,2,74421678-74425755,Predicted intracellular proteins,Evidence at protein level,"HPA043257, HPA053558",Enhanced,NA,Approved,Vesicles<br>Cytosol,NA,Expressed in all,Tissue enhanced,NA,fallopian tube: 113.2,testis: 48.2,Expressed in all,NA,NA
WDR72,FLJ38736,ENSG00000166415,WD repeat domain 72,15,53513741-53762878,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA048212, HPA057410, HPA059819",Uncertain,NA,Approved,Vesicles,"Renal cancer:3.33e-16 (favourable), Thyroid cancer:1.80e-4 (unfavourable)",Mixed,Group enriched,6,kidney: 104.7;thyroid gland: 92.1,liver: 16.9,Cell line enhanced,NA,A549: 8.9;EFO-21: 5.9;NTERA-2: 5.9;RPMI-8226: 11.9;RPTEC TERT1: 8.1;U-266/70: 5.7
WDR83,MORG1,ENSG00000123154,WD repeat domain 83,19,12666800-12675832,Predicted intracellular proteins,Evidence at protein level,"HPA042629, HPA042838",Uncertain,NA,Approved,Nucleoplasm<br>Vesicles<br>Centrosome,"Urothelial cancer:3.12e-4 (favourable), Pancreatic cancer:5.44e-4 (favourable)",Expressed in all,Mixed,NA,NA,testis: 9.4,Mixed,NA,NA
WDTC1,"ADP, DCAF9, KIAA1037",ENSG00000142784,WD and tetratricopeptide repeats 1,1,27234516-27308633,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA028177, HPA028180, HPA028182",Uncertain,NA,Supported,Golgi apparatus<br>Vesicles,"Renal cancer:8.84e-8 (favourable), Cervical cancer:4.51e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 73.7,Expressed in all,NA,NA
WDYHV1,"C8orf32, FLJ10204",ENSG00000156795,WDYHV motif containing 1,8,123416725-123467230,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA024823, HPA053680",Approved,NA,Supported,Nucleoplasm<br>Vesicles,"Endometrial cancer:4.93e-5 (unfavourable), Liver cancer:3.47e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 18.5,Expressed in all,NA,NA
WNK3,PRKWNK3,ENSG00000196632,WNK lysine deficient protein kinase 3,X,54192823-54358642,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA077678,NA,NA,Approved,Vesicles,NA,Mixed,Group enriched,6,epididymis: 14.3;testis: 18.6,ovary: 2.6,Cell line enhanced,NA,AF22: 4.4;HAP1: 5.4;NTERA-2: 9.1;SiHa: 4.8;U-2 OS: 4.1
